,0
0,Edirne
1,Kırklareli
2,Tekirdağ
3,İstanbul
4,Kocaeli
5,Yalova
6,Bursa
7,Balıkesir
8,Çanakkale
9,Manisa
10,Aydın
11,Kütahya
12,Uşak
13,Denizli
14,Burdur
15,Antalya
16,Isparta
17,Afyon
18,Eskişehir
19,Bilecik
20,Sakarya
21,Düzce
22,Bolu
23,Ankara
24,Konya
25,Karaman
26,Mersin
27,Niğde
28,Aksaray
29,Nevşehir
30,Kırşehir
31,Kırıkkale
32,Çankırı
33,Karabük
34,Zonguldak
35,Bartın
36,Kastamonu
37,Sinop
38,Çorum
39,Yozgat
40,Kayseri
41,Adana
42,Amasya
43,Samsun
44,Ordu
45,Tokat
46,Sivas
47,Kahramanmaraş
48,Osmaniye
49,Hatay
50,Kilis
51,Gaziantep
52,Adıyaman
53,Malatya
54,Giresun
55,Gümüşhane
56,Trabzon
57,Bayburt
58,Tunceli
59,Elazığ
60,Şanlıurfa
61,Mardin
62,Batman
63,Bingöl
64,Erzurum
65,Rize
66,Artvin
67,Ardahan
68,Kars
69,Ağrı
70,Muş
71,Bitlis
72,Siirt
73,Şırnak
74,Hakkari
75,Van
