,0
0,Alabama
1,Alaska
2,Arizona
3,Arkansas
4,California
5,Colorado
6,Connecticut
7,Delaware
8,Florida
9,Georgia
10,Hawaii
11,Idaho
12,Illinois
13,Indiana
14,Iowa
15,Kansas
16,Kentucky
17,Louisiana
18,Maine
19,Maryland
20,Massachusetts
21,Michigan
22,Minnesota
23,Mississippi
24,Missouri
25,Montana
26,Nebraska
27,Nevada
28,New Hampshire
29,New Jersey
30,New Mexico
31,North Carolina
32,North Dakota
33,Oklahoma
34,Oregon
35,Pennsylvania
36,Rhode Island
37,South Carolina
38,South Dakota
39,Tennessee
40,Texas
41,Utah
42,Vermont
43,Virginia
44,Washington
45,West Virginia
46,Wisconsin
47,Wyoming
