,major,early_career_pay,mid_career_pay
0,Petroleum Engineering,"$93,200","$187,300"
1,Operations Research & Industrial Engineering,"$84,800","$170,400"
2,Electrical Engineering & Computer Science (EECS),"$108,500","$159,300"
3,Interaction Design,"$68,300","$155,800"
4,Public Accounting,"$59,800","$147,700"
5,Operations Research,"$83,500","$147,400"
6,Applied Economics and Management,"$66,100","$146,400"
7,Business Computing (BC),"$73,000","$143,600"
8,Actuarial Mathematics,"$64,300","$143,400"
9,Electrical Power Engineering,"$76,100","$142,600"
10,Information & Computer Science,"$58,600","$140,900"
11,Aeronautics & Astronautics,"$77,600","$139,600"
12,Systems Engineering,"$77,700","$139,200"
13,Econometrics,"$64,200","$139,000"
14,Pharmacy,"$68,600","$138,700"
15,Aerospace Studies,"$55,800","$136,600"
16,Building Science,"$53,800","$135,900"
17,Chemical Engineering,"$76,900","$135,900"
18,Cognitive Science,"$68,700","$135,200"
19,Actuarial Science,"$67,700","$134,400"
20,Political Economy,"$65,100","$133,500"
21,Computer Systems Engineering,"$79,000","$133,200"
22,Electrical & Computer Engineering (ECE),"$78,100","$131,600"
23,Computer Science (CS) & Engineering,"$79,400","$131,300"
24,Marine Engineering,"$79,900","$131,300"
25,Aeronautical Engineering,"$74,700","$131,100"
26,Computer Engineering (CE),"$79,000","$131,000"
27,Naval Architecture & Marine Engineering,"$74,400","$130,700"
28,Entrepreneurship & Marketing,"$51,400","$129,800"
29,Corporate Accounting & Finance,"$65,200","$129,700"
30,Mechatronics,"$72,800","$129,600"
31,Nuclear Engineering,"$76,400","$129,400"
32,Electrical Engineering (EE),"$75,600","$127,700"
33,Foreign Affairs,"$54,800","$127,700"
34,Marine Transportation Management,"$71,100","$127,500"
35,Mechanical & Aeronautical Engineering,"$70,900","$126,900"
36,Welding Engineering,"$81,000","$126,600"
37,Instrumentation & Control Engineering,"$73,100","$126,400"
38,Computational & Applied Mathematics,"$75,500","$126,000"
39,Electrical & Electronics Engineering (EEE),"$74,700","$125,800"
40,Aerospace Engineering,"$74,300","$125,700"
